どっち？((061L.mp3)),big leak,big reek
どっち？((061R.mp3)),big reek,big leak
どっち？((062L.mp3)),big loom,big room
どっち？((062R.mp3)),big room,big loom
どっち？((063L.mp3)),big lock,big rock
どっち？((063R.mp3)),big rock,big lock
どっち？((064L.mp3)),big lamb,big ram
どっち？((064R.mp3)),big ram,big lamb
どっち？((071L.mp3)),tame leak,tame reek
どっち？((071R.mp3)),tame reek,tame leak
どっち？((072L.mp3)),tame loom,tame room
どっち？((072R.mp3)),tame room,tame loom
どっち？((073L.mp3)),tame lock,tame rock
どっち？((073R.mp3)),tame rock,tame lock
どっち？((074L.mp3)),tame lamb,tame ram
どっち？((074R.mp3)),tame ram,tame lamb
どっち？((081L.mp3)),kin leak,kin reek
どっち？((081R.mp3)),kin reek,kin leak
どっち？((082L.mp3)),kin loom,kin room
どっち？((082R.mp3)),kin room,kin loom
どっち？((083L.mp3)),kin lock,kin rock
どっち？((083R.mp3)),kin rock,kin lock
どっち？((084L.mp3)),kin lamb,kin ram
どっち？((084R.mp3)),kin ram,kin lamb
どっち？((091L.mp3)),king leak,king reek
どっち？((091R.mp3)),king reek,king leak
どっち？((092L.mp3)),king loom,king room
どっち？((092R.mp3)),king room,king loom
どっち？((093L.mp3)),king lock,king rock
どっち？((093R.mp3)),king rock,king lock
どっち？((094L.mp3)),king lamb,king ram
どっち？((094R.mp3)),king ram,king lamb
どっち？((101L.mp3)),rough leak,rough reek
どっち？((101R.mp3)),rough reek,rough leak
どっち？((102L.mp3)),rough loom,rough room
どっち？((102R.mp3)),rough room,rough loom
どっち？((103L.mp3)),rough lock,rough rock
どっち？((103R.mp3)),rough rock,rough lock
どっち？((104L.mp3)),rough lamb,rough ram
どっち？((104R.mp3)),rough ram,rough lamb
