どっち？((011L.mp3)),deep leak,deep reek
どっち？((011R.mp3)),deep reek,deep leak
どっち？((012L.mp3)),deep loom,deep room
どっち？((012R.mp3)),deep room,deep loom
どっち？((013L.mp3)),deep lock,deep rock
どっち？((013R.mp3)),deep rock,deep lock
どっち？((014L.mp3)),deep lamb,deep ram
どっち？((014R.mp3)),deep ram,deep lamb
どっち？((021L.mp3)),fab leak,fab reek
どっち？((021R.mp3)),fab reek,fab leak
どっち？((022L.mp3)),fab loom,fab room
どっち？((022R.mp3)),fab room,fab loom
どっち？((023L.mp3)),fab lock,fab rock
どっち？((023R.mp3)),fab rock,fab lock
どっち？((024L.mp3)),fab lamb,fab ram
どっち？((024R.mp3)),fab ram,fab lamb
どっち？((031L.mp3)),cute leak,cute reek
どっち？((031R.mp3)),cute reek,cute leak
どっち？((032L.mp3)),cute loom,cute room
どっち？((032R.mp3)),cute room,cute loom
どっち？((033L.mp3)),cute lock,cute rock
どっち？((033R.mp3)),cute rock,cute lock
どっち？((034L.mp3)),cute lamb,cute ram
どっち？((034R.mp3)),cute ram,cute lamb
どっち？((041L.mp3)),bold leak,bold reek
どっち？((041R.mp3)),bold reek,bold leak
どっち？((042L.mp3)),bold loom,bold room
どっち？((042R.mp3)),bold room,bold loom
どっち？((043L.mp3)),bold lock,bold rock
どっち？((043R.mp3)),bold rock,bold lock
どっち？((044L.mp3)),bold lamb,bold ram
どっち？((044R.mp3)),bold ram,bold lamb
どっち？((051L.mp3)),weak leak,weak reek
どっち？((051R.mp3)),weak reek,weak leak
どっち？((052L.mp3)),weak loom,weak room
どっち？((052R.mp3)),weak room,weak loom
どっち？((053L.mp3)),weak lock,weak rock
どっち？((053R.mp3)),weak rock,weak lock
どっち？((054L.mp3)),weak lamb,weak ram
どっち？((054R.mp3)),weak ram,weak lamb
どっち？((061L.mp3)),big leak,big reek
どっち？((061R.mp3)),big reek,big leak
どっち？((062L.mp3)),big loom,big room
どっち？((062R.mp3)),big room,big loom
どっち？((063L.mp3)),big lock,big rock
どっち？((063R.mp3)),big rock,big lock
どっち？((064L.mp3)),big lamb,big ram
どっち？((064R.mp3)),big ram,big lamb
どっち？((071L.mp3)),tame leak,tame reek
どっち？((071R.mp3)),tame reek,tame leak
どっち？((072L.mp3)),tame loom,tame room
どっち？((072R.mp3)),tame room,tame loom
どっち？((073L.mp3)),tame lock,tame rock
どっち？((073R.mp3)),tame rock,tame lock
どっち？((074L.mp3)),tame lamb,tame ram
どっち？((074R.mp3)),tame ram,tame lamb
どっち？((081L.mp3)),kin leak,kin reek
どっち？((081R.mp3)),kin reek,kin leak
どっち？((082L.mp3)),kin loom,kin room
どっち？((082R.mp3)),kin room,kin loom
どっち？((083L.mp3)),kin lock,kin rock
どっち？((083R.mp3)),kin rock,kin lock
どっち？((084L.mp3)),kin lamb,kin ram
どっち？((084R.mp3)),kin ram,kin lamb
どっち？((091L.mp3)),king leak,king reek
どっち？((091R.mp3)),king reek,king leak
どっち？((092L.mp3)),king loom,king room
どっち？((092R.mp3)),king room,king loom
どっち？((093L.mp3)),king lock,king rock
どっち？((093R.mp3)),king rock,king lock
どっち？((094L.mp3)),king lamb,king ram
どっち？((094R.mp3)),king ram,king lamb
どっち？((101L.mp3)),rough leak,rough reek
どっち？((101R.mp3)),rough reek,rough leak
どっち？((102L.mp3)),rough loom,rough room
どっち？((102R.mp3)),rough room,rough loom
どっち？((103L.mp3)),rough lock,rough rock
どっち？((103R.mp3)),rough rock,rough lock
どっち？((104L.mp3)),rough lamb,rough ram
どっち？((104R.mp3)),rough ram,rough lamb
どっち？((111L.mp3)),fave leak,fave reek
どっち？((111R.mp3)),fave reek,fave leak
どっち？((112L.mp3)),fave loom,fave room
どっち？((112R.mp3)),fave room,fave loom
どっち？((113L.mp3)),fave lock,fave rock
どっち？((113R.mp3)),fave rock,fave lock
どっち？((114L.mp3)),fave lamb,fave ram
どっち？((114R.mp3)),fave ram,fave lamb
どっち？((121L.mp3)),fifth leak,fifth reek
どっち？((121R.mp3)),fifth reek,fifth leak
どっち？((122L.mp3)),fifth loom,fifth room
どっち？((122R.mp3)),fifth room,fifth loom
どっち？((123L.mp3)),fifth lock,fifth rock
どっち？((123R.mp3)),fifth rock,fifth lock
どっち？((124L.mp3)),fifth lamb,fifth ram
どっち？((124R.mp3)),fifth ram,fifth lamb
どっち？((131L.mp3)),lathe leak,lathe reek
どっち？((131R.mp3)),lathe reek,lathe leak
どっち？((132L.mp3)),lathe loom,lathe room
どっち？((132R.mp3)),lathe room,lathe loom
どっち？((133L.mp3)),lathe lock,lathe rock
どっち？((133R.mp3)),lathe rock,lathe lock
どっち？((134L.mp3)),lathe lamb,lathe ram
どっち？((134R.mp3)),lathe ram,lathe lamb
どっち？((141L.mp3)),loose leak,loose reek
どっち？((141R.mp3)),loose reek,loose leak
どっち？((142L.mp3)),loose loom,loose room
どっち？((142R.mp3)),loose room,loose loom
どっち？((143L.mp3)),loose lock,loose rock
どっち？((143R.mp3)),loose rock,loose lock
どっち？((144L.mp3)),loose lamb,loose ram
どっち？((144R.mp3)),loose ram,loose lamb
どっち？((151L.mp3)),buzz leak,buzz reek
どっち？((151R.mp3)),buzz reek,buzz leak
どっち？((152L.mp3)),buzz loom,buzz room
どっち？((152R.mp3)),buzz room,buzz loom
どっち？((153L.mp3)),buzz lock,buzz rock
どっち？((153R.mp3)),buzz rock,buzz lock
どっち？((154L.mp3)),buzz lamb,buzz ram
どっち？((154R.mp3)),buzz ram,buzz lamb
どっち？((161L.mp3)),English leak,English reek
どっち？((161R.mp3)),English reek,English leak
どっち？((162L.mp3)),English loom,English room
どっち？((162R.mp3)),English room,English loom
どっち？((163L.mp3)),English lock,English rock
どっち？((163R.mp3)),English rock,English lock
どっち？((164L.mp3)),English lamb,English ram
どっち？((164R.mp3)),English ram,English lamb
どっち？((171L.mp3)),beige leak,beige reek
どっち？((171R.mp3)),beige reek,beige leak
どっち？((172L.mp3)),beige loom,beige room
どっち？((172R.mp3)),beige room,beige loom
どっち？((173L.mp3)),beige lock,beige rock
どっち？((173R.mp3)),beige rock,beige lock
どっち？((174L.mp3)),beige lamb,beige ram
どっち？((174R.mp3)),beige ram,beige lamb
