どっち？((161L.mp3)),English leak,English reek
どっち？((161R.mp3)),English reek,English leak
どっち？((162L.mp3)),English loom,English room
どっち？((162R.mp3)),English room,English loom
どっち？((163L.mp3)),English lock,English rock
どっち？((163R.mp3)),English rock,English lock
どっち？((164L.mp3)),English lamb,English ram
どっち？((164R.mp3)),English ram,English lamb
どっち？((171L.mp3)),beige leak,beige reek
どっち？((171R.mp3)),beige reek,beige leak
どっち？((172L.mp3)),beige loom,beige room
どっち？((172R.mp3)),beige room,beige loom
どっち？((173L.mp3)),beige lock,beige rock
どっち？((173R.mp3)),beige rock,beige lock
どっち？((174L.mp3)),beige lamb,beige ram
どっち？((174R.mp3)),beige ram,beige lamb
