どっち？((111L.mp3)),fave leak,fave reek
どっち？((111R.mp3)),fave reek,fave leak
どっち？((112L.mp3)),fave loom,fave room
どっち？((112R.mp3)),fave room,fave loom
どっち？((113L.mp3)),fave lock,fave rock
どっち？((113R.mp3)),fave rock,fave lock
どっち？((114L.mp3)),fave lamb,fave ram
どっち？((114R.mp3)),fave ram,fave lamb
どっち？((121L.mp3)),fifth leak,fifth reek
どっち？((121R.mp3)),fifth reek,fifth leak
どっち？((122L.mp3)),fifth loom,fifth room
どっち？((122R.mp3)),fifth room,fifth loom
どっち？((123L.mp3)),fifth lock,fifth rock
どっち？((123R.mp3)),fifth rock,fifth lock
どっち？((124L.mp3)),fifth lamb,fifth ram
どっち？((124R.mp3)),fifth ram,fifth lamb
どっち？((131L.mp3)),lathe leak,lathe reek
どっち？((131R.mp3)),lathe reek,lathe leak
どっち？((132L.mp3)),lathe loom,lathe room
どっち？((132R.mp3)),lathe room,lathe loom
どっち？((133L.mp3)),lathe lock,lathe rock
どっち？((133R.mp3)),lathe rock,lathe lock
どっち？((134L.mp3)),lathe lamb,lathe ram
どっち？((134R.mp3)),lathe ram,lathe lamb
どっち？((141L.mp3)),loose leak,loose reek
どっち？((141R.mp3)),loose reek,loose leak
どっち？((142L.mp3)),loose loom,loose room
どっち？((142R.mp3)),loose room,loose loom
どっち？((143L.mp3)),loose lock,loose rock
どっち？((143R.mp3)),loose rock,loose lock
どっち？((144L.mp3)),loose lamb,loose ram
どっち？((144R.mp3)),loose ram,loose lamb
どっち？((151L.mp3)),buzz leak,buzz reek
どっち？((151R.mp3)),buzz reek,buzz leak
どっち？((152L.mp3)),buzz loom,buzz room
どっち？((152R.mp3)),buzz room,buzz loom
どっち？((153L.mp3)),buzz lock,buzz rock
どっち？((153R.mp3)),buzz rock,buzz lock
どっち？((154L.mp3)),buzz lamb,buzz ram
どっち？((154R.mp3)),buzz ram,buzz lamb
